kasnaklamak	1421741435.000000
öne sermek	1422249304.000000
Boş başak dik durur	1209750279.000000
arıklama	1216402907.000000
ovdurmak	1421762502.000000
İkipınar	1422170709.000000
başına vurmak	1421697997.000000
taarruz etmek	1421784317.000000
süngerler	1268754373.000000
Aşağıgüney	1398219314.000000
çın	1421947161.000000
sınır çekmek	1322571948.000000
Yeğin	1422146550.000000
factoring	1421678138.000000
bağımlılaşmak	1421697201.000000
uzunca	1421932643.000000
Kavuştuk	1422082706.000000
yemyeşil	1421939442.000000
foşurdatmak	1421721468.000000
Çoyun	1353676403.000000
farika	1406353300.000000
Gökçedoğan	1422062105.000000
ilintilemek	1421733700.000000
selyaran	1261873295.000000
Süleymandanişment	1422122756.000000
Paşahöyük	1422110523.000000
nevruz otu	1216515083.000000
Çolbanak	1422164993.000000
yaş pasta	1216575001.000000
Eskiordu	1422056101.000000
Kedi, yavrusunu yerken sıçana benzetir	1209753937.000000
vefasız	1421933813.000000
akıllıca	1320257347.000000
şov	1369352099.000000
galvanokoter	1216463672.000000
Aşağıkent	1398220529.000000
şor	1423291144.000000
başınıvermek	1421698282.000000
raunt	1347528418.000000
güneş doğmak	1421727622.000000
ölümlülük	1320574148.000000
kevel	1422817366.000000
artikülasyon	1413346957.000000
şom	1421985493.000000
aile meclisi	1318786742.000000
Fadılköy	1422057903.000000
İmikuşağı	1422171573.000000
gelişigüzel	1421848881.000000
sancıma	1216539257.000000
Kotandüzü	1422091877.000000
oyalanmak	1421762672.000000
Körün istediği bir göz, iki olursa ne söz	1233922415.000000
Baybiçen	1353439513.000000
çengelsi	1421946517.000000
atavik	1421797167.000000
doğru oturmak	1421713429.000000
Unaca	1422134867.000000
itinalı	1421869030.000000
briketleme	1318779557.000000
hafızayı yoklamak	1421728322.000000
cansız hedef	1216441087.000000
Alaşarlı	1398143781.000000
mühendis	1357338148.000000
küflenmek	1421750710.000000
Seyhan	1398264009.000000
sofra takımı	1365734561.000000
kirpiği kirpiğine değmemek	1421745211.000000
mutluluk	1410153712.000000
Beyaz Rusya Cumhuriyeti	1247862318.000000
akort etmek	1421687019.000000
kodeks	1354884536.000000
Tayançı	1422125555.000000
gazlaştırmak	1421722563.000000
Düt demeye dudak gerek	1209751293.000000
Yukarıçamlı	1422152448.000000
söğüt yaprakböceği	1421922496.000000
plâstik ameliyat	1216533215.000000
ikilenmek	1421733165.000000
akluofobi	1334377467.000000
Kızılalma	1353272605.000000
Ulupelit	1422134574.000000
sorutkan	1421919812.000000
ecdat	1388502382.000000
Kelekli	1422084844.000000
abdest bozulmak	1421684711.000000
deve kuşu	1414160519.000000
saz	1421915075.000000
keskenme	1216491321.000000
dingildeklik	1216452055.000000
araç hâli	1335889800.000000
orta yolcu	1216518250.000000
yungu	1367348397.000000
sükût hakkı	1240491169.000000
anımsanmak	1421689585.000000
beden cezası	1318773776.000000
sıkıdüzen	1261300715.000000
Deyiş	1422045996.000000
Zaman sana uymazsa sen zamana uy	1360773264.000000
billurlu	1421803286.000000
Belceğiz	1398249563.000000
Darıtepe	1422042117.000000
ğerek	1342795543.000000
şirin	1421985361.000000
Orta Afrika Cumhuriyeti	1379667744.000000
açıklatma	1332672480.000000
tıp tıp	1217165732.000000
çığ	1388701188.000000
Uragan	1359023484.000000
merkezleştirmek	1421755095.000000
bedavalaşma	1216409885.000000
milli egemenlik	1272387274.000000
çıt	1226206274.000000
Kannada dili	1424699739.000000
Vanlılık	1224314250.000000
kuru temizleyici	1217065707.000000
dip doruk	1216452154.000000
süslü üslûp	1216550589.000000
termodinamik	1381192460.000000
Şekerbey	1422175066.000000
Kasımlar	1422082044.000000
deşarj olmak	1421711095.000000
yama vurmak	1422221859.000000
beyaz başlı kartal	1245707761.000000
adezyon kuvveti	1322265569.000000
amansızlık	1314196512.000000
bütünler açı	1388721524.000000
orojeni	1409975447.000000
kabuk bilimi	1216483509.000000
genel sekreterlik	1216464925.000000
Hastalık sağlık bizim için	1209752819.000000
Çöğmen	1422166623.000000
antipati	1421773480.000000
arı gibi sokmak	1421690610.000000
gözünden kaçmamak	1421726823.000000
